mvmt_id,timing_phase_id,timing_plan_id,green_time_window,signal_phase_num,min_green,max_green,start_green_time,end_green_time,extension,clearance,walk_time,cycle_time,ped_clearance,mvmt_txt_id,ring,barrier,stage_no,position,capacity,v_over_c,osm_web_address,geometry
109,1,0,000000_000005,1,5,5,0,5,,,55,60,,EBL,1,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9443857060754 33.42317691915609, -111.9442489586131 33.42323509320465)"
108,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBT,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9443857060754 33.42317691915609, -111.9442137052004 33.42318030641494)"
107,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBR,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9443857060754 33.42317691915609, -111.9442984539089 33.42310463574186)"
120,1,0,000000_000005,5,5,5,0,5,,,55,60,,WBL,2,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442137052004 33.42318030641494, -111.9442984539089 33.42310463574186)"
118,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBT,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442137052004 33.42318030641494, -111.9443857060754 33.42317691915609)"
121,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBR,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442137052004 33.42318030641494, -111.9442489586131 33.42323509320465)"
114,3,0,000030_000035,3,5,5,30,35,,,55,60,,NBL,1,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442984539089 33.42310463574186, -111.9443857060754 33.42317691915609)"
117,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBT,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442984539089 33.42310463574186, -111.9442489586131 33.42323509320465)"
116,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBR,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442984539089 33.42310463574186, -111.9442137052004 33.42318030641494)"
125,3,0,000030_000035,7,5,5,30,35,,,55,60,,SBL,2,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442489586131 33.42323509320465, -111.9442137052004 33.42318030641494)"
124,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBT,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442489586131 33.42323509320465, -111.9442984539089 33.42310463574186)"
123,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBR,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442489586131 33.42323509320465, -111.9442998120621 33.42324894481252)"
135,1,0,000000_000005,1,5,5,0,5,,,55,60,,EBL,1,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443520174172 33.42189365988915, -111.9442782741488 33.42196463163475)"
137,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBT,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443520174172 33.42189365988915, -111.9441799216587 33.4218939731393)"
136,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBR,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443520174172 33.42189365988915, -111.9442533425485 33.42182191685886)"
133,1,0,000000_000005,5,5,5,0,5,,,55,60,,WBL,2,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9441799216587 33.4218939731393, -111.9442533425485 33.42182191685886)"
134,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBT,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9441799216587 33.4218939731393, -111.9443520174172 33.42189365988915)"
132,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBR,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9441799216587 33.4218939731393, -111.9442782741488 33.42196463163475)"
131,3,0,000030_000035,3,5,5,30,35,,,55,60,,NBL,1,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442533425485 33.42182191685886, -111.9443520174172 33.42189365988915)"
129,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBT,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442533425485 33.42182191685886, -111.9442782741488 33.42196463163475)"
130,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBR,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442533425485 33.42182191685886, -111.9441799216587 33.4218939731393)"
127,3,0,000030_000035,7,5,5,30,35,,,55,60,,SBL,2,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442782741488 33.42196463163475, -111.9441799216587 33.4218939731393)"
126,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBT,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442782741488 33.42196463163475, -111.9442533425485 33.42182191685886)"
128,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBR,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442782741488 33.42196463163475, -111.9443520174172 33.42189365988915)"
138,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520523,"LINESTRING (-111.9443355491782 33.42063784778372, -111.9442496800848 33.42070989019489)"
139,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520523,"LINESTRING (-111.9443355491782 33.42063784778372, -111.944249212835 33.42056557448061)"
142,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520523,"LINESTRING (-111.944249212835 33.42056557448061, -111.9443355491782 33.42063784778372)"
143,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520523,"LINESTRING (-111.944249212835 33.42056557448061, -111.9442496800848 33.42070989019489)"
141,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520523,"LINESTRING (-111.9442496800848 33.42070989019489, -111.944249212835 33.42056557448061)"
140,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBR,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520523,"LINESTRING (-111.9442496800848 33.42070989019489, -111.9443355491782 33.42063784778372)"
149,3,0,000037_000044,7,6,6,37,44,,,54,60,,WBL,2,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520525,"LINESTRING (-111.9441622986016 33.42034821393938, -111.944247711537 33.42027604172241)"
148,4,0,000044_000100,8,15,15,44,60,,,45,60,,WBR,2,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520525,"LINESTRING (-111.9441622986016 33.42034821393938, -111.9442486347659 33.42042035563041)"
146,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520525,"LINESTRING (-111.944247711537 33.42027604172241, -111.9442486347659 33.42042035563041)"
147,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBR,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520525,"LINESTRING (-111.944247711537 33.42027604172241, -111.9441622986016 33.42034821393938)"
145,1,0,000000_000006,5,6,6,0,6,,,54,60,,SBL,2,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520525,"LINESTRING (-111.9442486347659 33.42042035563041, -111.9441622986016 33.42034821393938)"
144,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520525,"LINESTRING (-111.9442486347659 33.42042035563041, -111.944247711537 33.42027604172241)"
150,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520528,"LINESTRING (-111.9443319929238 33.41940207418183, -111.9442459641159 33.41947418277776)"
151,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520528,"LINESTRING (-111.9443319929238 33.41940207418183, -111.9442459257778 33.41932986647835)"
154,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520528,"LINESTRING (-111.9442459257778 33.41932986647835, -111.9443319929238 33.41940207418183)"
155,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520528,"LINESTRING (-111.9442459257778 33.41932986647835, -111.9442459641159 33.41947418277776)"
153,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520528,"LINESTRING (-111.9442459641159 33.41947418277776, -111.9442459257778 33.41932986647835)"
152,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBR,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520528,"LINESTRING (-111.9442459641159 33.41947418277776, -111.9443319929238 33.41940207418183)"
157,3,0,000037_000044,7,6,6,37,44,,,54,60,,WBL,2,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520531,"LINESTRING (-111.9441597695349 33.4189177905474, -111.9442453319932 33.41884550601488)"
156,4,0,000044_000100,8,15,15,44,60,,,45,60,,WBR,2,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520531,"LINESTRING (-111.9441597695349 33.4189177905474, -111.9442458354447 33.41898982118455)"
161,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520531,"LINESTRING (-111.9442453319932 33.41884550601488, -111.9442458354447 33.41898982118455)"
160,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBR,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520531,"LINESTRING (-111.9442453319932 33.41884550601488, -111.9441597695349 33.4189177905474)"
158,1,0,000000_000006,5,6,6,0,6,,,54,60,,SBL,2,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520531,"LINESTRING (-111.9442458354447 33.41898982118455, -111.9441597695349 33.4189177905474)"
159,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520531,"LINESTRING (-111.9442458354447 33.41898982118455, -111.9442453319932 33.41884550601488)"
162,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520533,"LINESTRING (-111.9443294036154 33.41778386214033, -111.9442435267543 33.41785513437496)"
163,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520533,"LINESTRING (-111.9443294036154 33.41778386214033, -111.9442433445326 33.4177108181656)"
166,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520533,"LINESTRING (-111.9442433445326 33.4177108181656, -111.9443294036154 33.41778386214033)"
167,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520533,"LINESTRING (-111.9442433445326 33.4177108181656, -111.9442435267543 33.41785513437496)"
165,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520533,"LINESTRING (-111.9442435267543 33.41785513437496, -111.9442433445326 33.4177108181656)"
164,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBR,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520533,"LINESTRING (-111.9442435267543 33.41785513437496, -111.9443294036154 33.41778386214033)"
168,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520536,"LINESTRING (-111.944327002875 33.41682235494265, -111.944241243808 33.41689452882419)"
169,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520536,"LINESTRING (-111.944327002875 33.41682235494265, -111.9442409382612 33.41675021286254)"
172,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520536,"LINESTRING (-111.9442409382612 33.41675021286254, -111.944327002875 33.41682235494265)"
173,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520536,"LINESTRING (-111.9442409382612 33.41675021286254, -111.944241243808 33.41689452882419)"
171,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520536,"LINESTRING (-111.944241243808 33.41689452882419, -111.9442409382612 33.41675021286254)"
170,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBR,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520536,"LINESTRING (-111.944241243808 33.41689452882419, -111.944327002875 33.41682235494265)"
174,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520539,"LINESTRING (-111.9443268011071 33.41606767070193, -111.9442407760968 33.41613957422906)"
175,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520539,"LINESTRING (-111.9443268011071 33.41606767070193, -111.9442405341168 33.41599525809207)"
178,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520539,"LINESTRING (-111.9442405341168 33.41599525809207, -111.9443268011071 33.41606767070193)"
179,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520539,"LINESTRING (-111.9442405341168 33.41599525809207, -111.9442407760968 33.41613957422906)"
177,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520539,"LINESTRING (-111.9442407760968 33.41613957422906, -111.9442405341168 33.41599525809207)"
