mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
1844,840,2704829948_5013837645,intersection1,1016,4,,1126,3,,1,4347879983,2822050829,thru,,,signal,SBT,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9264072749496 33.42195576677923)",,,auto
1845,840,2704829948_5013837645,intersection1,1016,2,3,876,1,2,2,4347879983,4346605166,left,,,signal,SBL,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9261566859385 33.42203070294214)",,,auto
1846,840,2704829948_5013837645,intersection1,1016,1,,1042,1,,1,4347879983,2704829949,uturn,,,signal,SBU,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9262415646975 33.42210098561003)",,,auto
1847,840,2704829948_5013837645,intersection1,877,2,3,875,1,2,2,4346605166,4346605164,thru,,,signal,WBT,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9264933066724 33.42202626192582)",,,auto
1848,840,2704829948_5013837645,intersection1,877,1,,1126,1,,1,4346605166,2822050829,left,,,signal,WBL,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9264072749496 33.42195576677923)",,,auto
1849,840,2704829948_5013837645,intersection1,877,5,,1042,3,,1,4346605166,2704829949,right,,,signal,WBR,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9262415646975 33.42210098561003)",,,auto
1850,840,2704829948_5013837645,intersection1,1127,2,3,875,1,2,2,2822050830,4346605164,left,,,signal,NBL,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9264933066724 33.42202626192582)",,,auto
1851,840,2704829948_5013837645,intersection1,1127,1,,1126,1,,1,2822050830,2822050829,uturn,,,signal,NBU,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9264072749496 33.42195576677923)",,,auto
1852,840,2704829948_5013837645,intersection1,1127,5,,876,2,,1,2822050830,4346605166,right,,,signal,NBR,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9261566859385 33.42203070294214)",,,auto
1853,840,2704829948_5013837645,intersection1,1127,4,,1042,3,,1,2822050830,2704829949,thru,,,signal,NBT,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9262415646975 33.42210098561003)",,,auto
