signal_phase_mvmt_id,controller_id,timing_phase_id,signal_phase_num,timing_plan_id,mvmt_id,ib_link_id,ob_link_id,protection
7,,2,8,0,156,294,292,Null
8,,2,9,0,155,294,20,Null
9,,2,10,0,152,291,20,Permissive
10,,2,11,0,153,291,293,Null
11,,2,12,0,151,291,19,Null
0,,1,2,0,162,539,537,Null
1,,1,3,0,161,539,22,Null
2,,1,4,0,159,536,22,Permissive
3,,1,5,0,160,536,538,Null
4,,2,7,0,158,23,538,Protected
5,,2,9,0,157,23,537,Null
0,,1,1,0,167,77,832,Permissive
1,,1,2,0,166,77,75,Null
2,,1,3,0,168,77,833,Null
3,,1,4,0,165,74,833,Permissive
4,,1,5,0,163,74,76,Null
5,,1,6,0,164,74,832,Null
6,,2,7,0,173,834,76,Permissive
7,,2,8,0,174,834,832,Null
8,,2,9,0,172,834,75,Null
9,,2,10,0,169,831,75,Permissive
10,,2,11,0,171,831,833,Null
11,,2,12,0,170,831,76,Null
0,,1,1,0,179,222,834,Permissive
1,,1,2,0,178,222,220,Null
2,,1,3,0,180,222,835,Null
3,,1,4,0,177,219,835,Permissive
4,,1,5,0,175,219,221,Null
5,,1,6,0,176,219,834,Null
6,,2,7,0,185,836,221,Permissive
7,,2,8,0,186,836,834,Null
8,,2,9,0,184,836,220,Null
9,,2,10,0,181,833,220,Permissive
10,,2,11,0,183,833,835,Null
11,,2,12,0,182,833,221,Null
0,,1,1,0,191,191,836,Permissive
1,,1,2,0,190,191,189,Null
2,,1,3,0,192,191,837,Null
3,,1,4,0,189,188,837,Permissive
4,,1,5,0,187,188,190,Null
5,,1,6,0,188,188,836,Null
6,,2,7,0,197,838,190,Permissive
7,,2,8,0,198,838,836,Null
8,,2,9,0,196,838,189,Null
9,,2,10,0,193,835,189,Permissive
10,,2,11,0,195,835,837,Null
11,,2,12,0,194,835,190,Null
0,,1,1,0,202,283,838,Permissive
1,,1,2,0,201,283,281,Null
2,,1,5,0,199,280,282,Null
3,,1,6,0,200,280,838,Null
4,,2,10,0,203,837,281,Protected
5,,2,12,0,204,837,282,Null
0,,1,2,0,213,98,100,Null
1,,1,3,0,212,98,61,Null
2,,1,4,0,215,101,61,Permissive
3,,1,5,0,216,101,99,Null
4,,2,7,0,209,60,99,Protected
5,,2,9,0,210,60,100,Null
0,,3,1,0,217,28,171,Protected
1,,3,3,0,218,28,172,Null
2,,1,7,0,221,173,29,Permissive
3,,2,8,0,222,173,171,Null
4,,2,11,0,220,170,172,Null
5,,2,12,0,219,170,29,Null
0,,1,1,0,227,87,30,Permissive
1,,1,2,0,228,87,85,Null
2,,1,5,0,226,84,86,Null
3,,1,6,0,225,84,30,Null
4,,2,10,0,223,31,85,Protected
5,,2,12,0,224,31,86,Null
0,,1,1,0,239,285,32,Permissive
1,,1,2,0,240,285,283,Null
2,,1,3,0,238,285,31,Null
3,,1,4,0,235,282,31,Permissive
4,,1,5,0,237,282,284,Null
5,,1,6,0,236,282,32,Null
6,,2,7,0,231,30,284,Permissive
7,,2,8,0,229,30,32,Null
8,,2,9,0,230,30,283,Null
9,,2,10,0,233,33,283,Permissive
10,,2,11,0,232,33,31,Null
11,,2,12,0,234,33,284,Null
0,,3,4,0,245,190,33,Protected
1,,3,6,0,246,190,34,Null
2,,2,8,0,241,32,34,Null
3,,2,9,0,242,32,191,Null
4,,1,10,0,244,35,191,Permissive
5,,2,11,0,243,35,33,Null
0,,3,4,0,251,221,35,Protected
1,,3,6,0,252,221,36,Null
2,,2,8,0,247,34,36,Null
3,,2,9,0,248,34,222,Null
4,,1,10,0,250,37,222,Permissive
5,,2,11,0,249,37,35,Null
0,,1,1,0,263,79,38,Permissive
1,,1,2,0,264,79,77,Null
2,,1,3,0,262,79,37,Null
3,,1,4,0,259,76,37,Permissive
4,,1,5,0,261,76,78,Null
5,,1,6,0,260,76,38,Null
6,,2,7,0,255,36,78,Permissive
7,,2,8,0,253,36,38,Null
8,,2,9,0,254,36,77,Null
9,,2,10,0,257,39,77,Permissive
10,,2,11,0,256,39,37,Null
11,,2,12,0,258,39,78,Null
0,,1,1,0,270,541,678,Permissive
1,,1,2,0,268,541,535,Null
2,,1,3,0,269,541,671,Null
3,,1,4,0,266,534,671,Permissive
4,,1,5,0,265,534,540,Null
5,,1,6,0,267,534,678,Null
6,,2,7,0,272,670,540,Permissive
7,,2,8,0,273,670,678,Null
8,,2,9,0,271,670,535,Null
9,,2,10,0,274,679,535,Permissive
10,,2,11,0,276,679,671,Null
11,,2,12,0,275,679,540,Null
0,,1,1,0,281,441,633,Permissive
1,,1,2,0,280,441,436,Null
2,,1,3,0,282,441,681,Null
3,,1,4,0,278,435,681,Permissive
4,,1,5,0,279,435,841,Null
5,,1,6,0,277,435,633,Null
6,,2,7,0,288,680,841,Permissive
7,,2,8,0,287,680,633,Null
8,,2,9,0,286,680,436,Null
9,,2,10,0,283,634,436,Permissive
10,,2,11,0,284,634,681,Null
11,,2,12,0,285,634,841,Null
0,,3,4,0,289,353,636,Protected
1,,3,6,0,290,353,637,Null
2,,2,8,0,292,635,637,Null
3,,2,9,0,291,635,354,Null
4,,1,10,0,293,638,354,Permissive
5,,2,11,0,294,638,636,Null
0,,3,4,0,295,149,586,Protected
1,,3,6,0,296,149,587,Null
2,,2,8,0,298,585,587,Null
3,,2,9,0,297,585,148,Null
4,,1,10,0,299,588,148,Permissive
5,,2,11,0,300,588,586,Null
0,,1,1,0,302,257,557,Permissive
1,,1,2,0,301,257,259,Null
2,,1,3,0,303,257,575,Null
3,,1,4,0,306,260,575,Permissive
4,,1,5,0,304,260,258,Null
5,,1,6,0,305,260,557,Null
6,,2,7,0,310,574,258,Permissive
7,,2,8,0,312,574,557,Null
8,,2,9,0,311,574,259,Null
9,,2,10,0,308,558,259,Permissive
10,,2,11,0,309,558,575,Null
11,,2,12,0,307,558,258,Null
0,,3,1,0,318,736,567,Protected
1,,3,3,0,317,736,562,Null
2,,1,7,0,314,561,737,Permissive
3,,2,8,0,313,561,567,Null
4,,2,11,0,315,568,562,Null
5,,2,12,0,316,568,737,Null
0,,3,4,0,320,45,419,Protected
1,,3,6,0,319,45,418,Null
2,,2,8,0,324,420,418,Null
3,,2,9,0,323,420,44,Null
4,,1,10,0,321,417,44,Permissive
5,,2,11,0,322,417,419,Null
0,,1,1,0,326,44,423,Permissive
1,,1,2,0,325,44,46,Null
2,,1,5,0,327,47,45,Null
3,,1,6,0,328,47,423,Null
4,,2,10,0,330,422,46,Protected
5,,2,12,0,329,422,45,Null
0,,1,1,0,332,46,414,Permissive
1,,1,2,0,331,46,48,Null
2,,1,5,0,333,49,47,Null
3,,1,6,0,334,49,414,Null
4,,2,10,0,336,413,48,Protected
5,,2,12,0,335,413,47,Null
0,,1,1,0,338,48,761,Permissive
1,,1,2,0,337,48,50,Null
2,,1,3,0,339,48,762,Null
3,,1,4,0,342,51,762,Permissive
4,,1,5,0,340,51,49,Null
5,,1,6,0,341,51,761,Null
6,,2,7,0,346,763,49,Permissive
7,,2,8,0,348,763,761,Null
8,,2,9,0,347,763,50,Null
9,,2,10,0,344,760,50,Permissive
10,,2,11,0,345,760,762,Null
11,,2,12,0,343,760,49,Null
0,,1,1,0,350,158,244,Permissive
1,,1,2,0,349,158,160,Null
2,,1,5,0,351,161,159,Null
3,,1,6,0,352,161,244,Null
4,,2,10,0,354,245,160,Protected
5,,2,12,0,353,245,159,Null
0,,1,2,0,358,156,158,Null
1,,1,3,0,357,156,52,Null
2,,1,4,0,359,159,52,Permissive
3,,1,5,0,360,159,157,Null
4,,2,7,0,355,53,157,Protected
5,,2,9,0,356,53,158,Null
0,,1,1,0,363,355,57,Permissive
1,,1,2,0,364,355,357,Null
2,,1,5,0,366,358,356,Null
3,,1,6,0,365,358,57,Null
4,,2,10,0,362,56,357,Protected
5,,2,12,0,361,56,356,Null
0,,1,2,0,370,108,648,Null
1,,1,3,0,369,108,62,Null
2,,1,4,0,371,649,62,Permissive
3,,1,5,0,372,649,109,Null
4,,2,7,0,367,63,109,Protected
5,,2,9,0,368,63,648,Null
0,,1,11,0,374,476,639,Null
0,,1,2,0,376,202,66,Null
0,,3,4,0,382,258,764,Protected
1,,3,6,0,381,258,614,Null
2,,1,7,0,388,692,614,Permissive
3,,2,8,0,386,692,115,Null
4,,1,9,0,389,692,764,Null
5,,1,10,0,384,613,257,Permissive
6,,2,11,0,379,114,764,Null
7,,1,12,0,385,613,764,Null
0,,1,1,0,391,263,378,Permissive
1,,1,2,0,390,263,265,Null
2,,1,5,0,392,266,264,Null
3,,1,6,0,393,266,378,Null
4,,2,10,0,395,377,265,Protected
5,,2,12,0,394,377,264,Null
0,,1,3,0,396,220,491,Null
1,,1,4,0,400,789,491,Permissive
2,,1,5,0,399,789,219,Null
3,,2,11,0,398,490,491,Null
4,,2,12,0,397,490,219,Null
0,,3,1,0,401,85,235,Protected
1,,3,3,0,402,85,658,Null
2,,1,7,0,405,659,84,Permissive
3,,2,8,0,406,659,235,Null
4,,2,11,0,404,234,658,Null
5,,2,12,0,403,234,84,Null
0,,3,4,0,407,655,656,Protected
1,,3,6,0,408,655,659,Null
2,,2,8,0,410,657,659,Null
3,,2,9,0,409,657,654,Null
4,,1,10,0,411,658,654,Permissive
5,,2,11,0,412,658,656,Null
0,,1,2,0,416,152,154,Null
1,,1,3,0,415,152,90,Null
2,,1,4,0,417,155,90,Permissive
3,,1,5,0,418,155,153,Null
4,,2,7,0,413,91,153,Protected
5,,2,9,0,414,91,154,Null
0,,1,1,0,419,93,187,Permissive
1,,1,2,0,420,93,363,Null
2,,1,5,0,424,364,317,Null
3,,1,6,0,423,364,187,Null
4,,2,10,0,422,186,363,Protected
5,,2,12,0,421,186,317,Null
0,,1,1,0,427,517,714,Permissive
1,,1,2,0,425,517,519,Null
2,,1,3,0,426,517,601,Null
3,,1,4,0,429,520,601,Permissive
4,,1,5,0,428,520,518,Null
5,,1,6,0,430,520,714,Null
6,,2,7,0,431,602,518,Permissive
7,,2,8,0,433,602,714,Null
8,,2,9,0,432,602,519,Null
9,,2,10,0,435,713,519,Permissive
10,,2,11,0,436,713,601,Null
11,,2,12,0,434,713,518,Null
0,,1,2,0,438,112,425,Null
1,,1,3,0,437,112,291,Null
2,,1,4,0,442,426,291,Permissive
3,,1,5,0,441,426,113,Null
4,,2,7,0,439,292,113,Protected
5,,2,9,0,440,292,425,Null
0,,1,2,0,446,427,269,Null
1,,1,3,0,445,427,182,Null
2,,1,4,0,447,715,182,Permissive
3,,1,5,0,449,715,428,Null
4,,2,7,0,444,183,428,Protected
5,,2,9,0,443,183,269,Null
0,,3,1,0,450,104,121,Protected
1,,3,3,0,451,104,122,Null
2,,1,7,0,454,123,105,Permissive
3,,2,8,0,455,123,121,Null
4,,2,11,0,453,120,122,Null
5,,2,12,0,452,120,105,Null
0,,3,4,0,457,107,120,Protected
1,,3,6,0,456,107,119,Null
2,,2,8,0,461,121,119,Null
3,,2,9,0,460,121,106,Null
4,,1,10,0,458,118,106,Permissive
5,,2,11,0,459,118,120,Null
0,,1,2,0,462,106,108,Null
1,,1,3,0,463,106,138,Null
2,,1,4,0,465,109,138,Permissive
3,,1,5,0,464,109,107,Null
4,,2,7,0,466,139,107,Protected
5,,2,9,0,467,139,108,Null
0,,3,4,0,468,197,699,Protected
1,,3,6,0,469,197,702,Null
2,,2,8,0,471,700,702,Null
3,,2,9,0,470,700,196,Null
4,,1,10,0,472,701,196,Permissive
5,,2,11,0,473,701,699,Null
0,,1,1,0,479,654,144,Permissive
1,,1,2,0,478,654,116,Null
2,,1,5,0,475,117,655,Null
3,,1,6,0,474,117,144,Null
4,,2,10,0,476,145,116,Protected
5,,2,12,0,477,145,655,Null
0,,1,1,0,480,116,243,Permissive
1,,1,2,0,481,116,756,Null
2,,1,3,0,482,116,760,Null
3,,1,4,0,488,757,760,Permissive
4,,1,5,0,486,757,117,Null
5,,1,6,0,487,757,243,Null
6,,2,7,0,489,761,117,Permissive
7,,2,8,0,490,761,243,Null
8,,2,9,0,491,761,756,Null
9,,2,10,0,484,242,756,Permissive
10,,2,11,0,485,242,760,Null
11,,2,12,0,483,242,117,Null
0,,1,1,0,493,756,845,Permissive
1,,1,2,0,492,756,758,Null
2,,1,5,0,494,759,757,Null
3,,1,6,0,495,759,845,Null
4,,2,10,0,497,844,758,Protected
5,,2,12,0,496,844,757,Null
0,,1,2,0,501,162,164,Null
1,,1,3,0,500,162,126,Null
2,,1,4,0,502,165,126,Permissive
3,,1,5,0,503,165,163,Null
4,,2,7,0,498,127,163,Protected
5,,2,9,0,499,127,164,Null
0,,1,2,0,507,160,162,Null
1,,1,3,0,506,160,132,Null
2,,1,4,0,508,163,132,Permissive
3,,1,5,0,509,163,161,Null
4,,2,7,0,504,133,161,Protected
5,,2,9,0,505,133,162,Null
0,,1,2,0,513,150,152,Null
1,,1,3,0,512,150,134,Null
2,,1,4,0,514,153,134,Permissive
3,,1,5,0,515,153,151,Null
4,,2,7,0,510,135,151,Protected
5,,2,9,0,511,135,152,Null
0,,1,1,0,517,213,294,Permissive
1,,1,2,0,516,213,215,Null
2,,1,3,0,518,213,295,Null
3,,1,4,0,521,216,295,Permissive
4,,1,5,0,519,216,214,Null
5,,1,6,0,520,216,294,Null
6,,2,7,0,525,296,214,Permissive
7,,2,8,0,527,296,294,Null
8,,2,9,0,526,296,215,Null
9,,2,10,0,523,293,215,Permissive
10,,2,11,0,524,293,295,Null
11,,2,12,0,522,293,214,Null
0,,1,2,0,528,148,150,Null
1,,1,3,0,529,148,170,Null
2,,1,4,0,531,151,170,Permissive
3,,1,5,0,530,151,149,Null
4,,2,7,0,532,171,149,Protected
5,,2,9,0,533,171,150,Null
0,,1,1,0,534,167,181,Permissive
1,,1,2,0,535,167,379,Null
2,,1,5,0,538,380,166,Null
3,,1,6,0,539,380,181,Null
4,,2,10,0,537,180,379,Protected
5,,2,12,0,536,180,166,Null
0,,1,2,0,540,211,213,Null
1,,1,3,0,541,211,663,Null
2,,1,4,0,543,214,663,Permissive
3,,1,5,0,542,214,212,Null
4,,2,7,0,544,664,212,Protected
5,,2,9,0,545,664,213,Null
0,,3,1,0,550,215,185,Protected
1,,3,3,0,551,215,186,Null
2,,1,7,0,549,187,216,Permissive
3,,2,8,0,548,187,185,Null
4,,2,11,0,546,184,186,Null
5,,2,12,0,547,184,216,Null
0,,3,1,0,552,20,183,Protected
1,,3,3,0,553,20,184,Null
2,,1,7,0,556,185,21,Permissive
3,,2,8,0,557,185,183,Null
4,,2,11,0,555,182,184,Null
5,,2,12,0,554,182,21,Null
0,,1,2,0,561,236,238,Null
1,,1,3,0,560,236,198,Null
2,,1,4,0,562,239,198,Permissive
3,,1,5,0,563,239,237,Null
4,,2,7,0,558,199,237,Protected
5,,2,9,0,559,199,238,Null
0,,1,1,0,566,357,133,Permissive
1,,1,2,0,567,357,359,Null
2,,1,5,0,569,360,358,Null
3,,1,6,0,568,360,133,Null
4,,2,10,0,565,132,359,Protected
5,,2,12,0,564,132,358,Null
0,,1,2,0,573,767,769,Null
1,,1,3,0,572,767,377,Null
2,,1,4,0,574,770,377,Permissive
3,,1,5,0,575,770,768,Null
4,,2,7,0,570,378,768,Protected
5,,2,9,0,571,378,769,Null
0,,1,10,0,576,491,303,Permissive
1,,1,11,0,577,491,793,Null
0,,2,4,0,579,464,689,Permissive
1,,2,5,0,578,464,466,Null
2,,2,6,0,580,464,691,Null
3,,1,7,0,581,690,466,Permissive
4,,1,8,0,582,690,691,Null
5,,1,11,0,584,764,689,Null
6,,1,12,0,585,764,691,Null
0,,2,1,0,590,463,735,Permissive
1,,2,2,0,589,463,619,Null
2,,2,3,0,588,463,251,Null
3,,1,8,0,587,252,735,Null
4,,1,9,0,586,252,619,Null
5,,1,10,0,592,734,619,Permissive
6,,1,11,0,591,734,251,Null
0,,2,1,0,597,458,653,Permissive
1,,2,2,0,596,458,459,Null
2,,2,3,0,595,458,245,Null
3,,1,8,0,594,244,653,Null
4,,1,9,0,593,244,459,Null
5,,1,10,0,599,652,459,Permissive
6,,1,11,0,598,652,245,Null
0,,1,2,0,605,259,261,Null
1,,1,3,0,604,259,254,Null
2,,1,5,0,607,262,260,Null
3,,2,11,0,603,253,261,Null
4,,2,12,0,602,253,260,Null
0,,1,2,0,612,261,263,Null
1,,1,5,0,614,264,262,Null
2,,1,6,0,613,264,256,Null
3,,2,7,0,609,255,262,Permissive
4,,2,8,0,608,255,256,Null
5,,2,9,0,610,255,263,Null
0,,1,8,0,616,383,385,Null
1,,1,9,0,615,383,253,Null
2,,1,11,0,618,386,384,Null
0,,1,8,0,620,646,647,Null
0,,1,2,0,621,752,754,Null
1,,1,3,0,622,752,785,Null
2,,1,4,0,624,755,785,Permissive
3,,1,5,0,623,755,753,Null
4,,2,7,0,625,784,753,Protected
5,,2,9,0,626,784,754,Null
0,,1,5,0,627,195,766,Null
0,,1,5,0,629,305,306,Null
0,,1,8,0,633,688,603,Null
1,,1,11,0,631,604,564,Null
0,,1,8,0,635,582,645,Null
0,,1,1,0,636,315,597,Protected
1,,3,7,0,637,316,597,Protected
0,,1,11,0,639,312,314,Null
0,,1,11,0,640,808,327,Null
0,,1,1,0,651,436,328,Permissive
1,,1,2,0,652,436,434,Null
2,,1,3,0,650,436,325,Null
3,,1,4,0,647,433,325,Permissive
4,,1,5,0,649,433,435,Null
5,,1,6,0,648,433,328,Null
6,,2,7,0,643,326,435,Permissive
7,,2,8,0,641,326,328,Null
8,,2,9,0,642,326,434,Null
9,,2,10,0,645,327,434,Permissive
10,,2,11,0,644,327,325,Null
11,,2,12,0,646,327,435,Null
0,,1,1,0,663,724,326,Permissive
1,,1,2,0,662,724,16,Null
2,,1,3,0,664,724,722,Null
3,,1,4,0,654,17,722,Permissive
4,,1,5,0,655,17,723,Null
5,,1,6,0,653,17,326,Null
6,,2,7,0,661,721,723,Permissive
7,,2,8,0,660,721,326,Null
8,,2,9,0,659,721,16,Null
9,,2,10,0,656,325,16,Permissive
10,,2,11,0,657,325,722,Null
11,,2,12,0,658,325,723,Null
0,,3,1,0,665,361,438,Protected
1,,3,3,0,666,361,439,Null
2,,1,7,0,669,440,362,Permissive
3,,2,8,0,670,440,438,Null
4,,2,11,0,668,437,439,Null
5,,2,12,0,667,437,362,Null
0,,1,8,0,673,57,367,Null
1,,1,11,0,674,368,56,Null
0,,1,8,0,678,367,53,Null
1,,1,11,0,676,52,368,Null
0,,1,1,0,680,110,381,Permissive
1,,1,2,0,679,110,112,Null
2,,1,5,0,681,113,111,Null
3,,1,6,0,682,113,381,Null
4,,2,10,0,684,382,112,Protected
5,,2,12,0,683,382,111,Null
0,,3,1,0,689,208,179,Protected
1,,3,3,0,690,208,180,Null
2,,1,7,0,688,181,207,Permissive
3,,2,8,0,687,181,179,Null
4,,2,11,0,685,178,180,Null
5,,2,12,0,686,178,207,Null
0,,2,4,0,703,403,395,Permissive
1,,2,5,0,704,403,404,Null
2,,2,6,0,702,403,389,Null
3,,1,7,0,693,387,404,Permissive
4,,1,8,0,691,387,389,Null
5,,1,11,0,699,394,395,Null
6,,1,12,0,700,394,404,Null
0,,2,1,0,709,392,398,Permissive
1,,3,2,0,708,392,393,Null
2,,1,7,0,710,397,387,Permissive
3,,1,8,0,712,397,398,Null
4,,1,9,0,711,397,393,Null
5,,1,10,0,705,388,393,Protected
0,,1,1,0,716,376,405,Permissive
1,,1,2,0,715,376,374,Null
2,,1,5,0,713,373,375,Null
3,,1,6,0,714,373,405,Null
4,,2,10,0,717,406,374,Protected
5,,2,12,0,718,406,375,Null
0,,1,2,0,720,545,543,Null
1,,1,5,0,719,542,544,Null
2,,2,7,0,722,765,544,Protected
3,,2,9,0,721,765,543,Null
0,,1,1,0,724,607,611,Permissive
1,,1,2,0,723,607,609,Null
2,,1,5,0,725,610,608,Null
3,,1,6,0,726,610,611,Null
4,,2,10,0,728,612,609,Protected
5,,2,12,0,727,612,608,Null
0,,1,2,0,729,238,240,Null
1,,1,3,0,730,238,612,Null
2,,1,4,0,732,241,612,Permissive
3,,1,5,0,731,241,239,Null
4,,2,7,0,733,611,239,Protected
5,,2,9,0,734,611,240,Null
0,,1,2,0,735,248,249,Null
0,,1,2,0,737,249,250,Null
0,,1,5,0,740,773,774,Null
0,,1,5,0,742,774,775,Null
0,,3,4,0,745,628,626,Protected
1,,3,6,0,746,628,721,Null
2,,2,8,0,744,625,721,Null
3,,2,9,0,743,625,627,Null
4,,1,10,0,748,722,627,Permissive
5,,2,11,0,747,722,626,Null
0,,1,2,0,749,276,278,Null
1,,1,3,0,750,276,449,Null
2,,1,4,0,752,279,449,Permissive
3,,1,5,0,751,279,277,Null
0,,3,4,0,757,723,430,Protected
1,,3,6,0,758,723,431,Null
2,,2,8,0,753,429,431,Null
3,,2,9,0,754,429,724,Null
4,,1,10,0,756,432,724,Permissive
5,,2,11,0,755,432,430,Null
0,,1,4,0,760,725,727,Protected
1,,1,6,0,759,725,726,Null
0,,3,1,0,762,240,696,Protected
1,,3,3,0,761,240,693,Null
2,,1,7,0,763,694,241,Permissive
3,,2,8,0,764,694,696,Null
4,,2,11,0,766,695,693,Null
5,,2,12,0,765,695,241,Null
0,,1,1,0,769,304,795,Protected
1,,1,3,0,768,304,140,Null
2,,3,8,0,767,141,795,Null
3,,3,11,0,770,794,140,Null
0,,1,1,0,777,194,141,Permissive
1,,1,2,0,779,194,276,Null
2,,1,3,0,778,194,142,Null
3,,1,4,0,781,277,142,Permissive
4,,1,5,0,782,277,195,Null
5,,1,6,0,780,277,141,Null
6,,2,7,0,775,143,195,Permissive
7,,2,8,0,774,143,141,Null
8,,2,9,0,776,143,276,Null
9,,2,10,0,773,140,276,Permissive
10,,2,11,0,771,140,142,Null
11,,2,12,0,772,140,195,Null
0,,1,7,0,783,795,275,Protected
0,,3,4,0,785,103,130,Protected
1,,3,6,0,784,103,129,Null
2,,2,8,0,789,131,129,Null
3,,2,9,0,788,131,102,Null
4,,1,10,0,786,128,102,Permissive
5,,2,11,0,787,128,130,Null
0,,1,2,0,793,102,104,Null
1,,1,3,0,792,102,40,Null
