mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed
85,11,83548113,,443,2,,6,1,,1,83553451,83548119,right,,,,NBR,"LINESTRING (-111.891042 40.7432861, -111.8910368 40.7448384, -111.8883125 40.7448553)"
86,11,83548113,,443,1,,243,1,,1,83553451,83704151,left,,,,NBL,"LINESTRING (-111.891042 40.7432861, -111.8910368 40.7448384, -111.8925836 40.7448317)"
87,11,83548113,,443,2,,445,2,,1,83553451,83551130,thru,,,,NBT,"LINESTRING (-111.891042 40.7432861, -111.8910368 40.7448384, -111.891042 40.7464269)"
88,11,83548113,,446,1,,6,1,,1,83551130,83548119,left,,,,SBL,"LINESTRING (-111.891042 40.7464269, -111.8910368 40.7448384, -111.8883125 40.7448553)"
89,11,83548113,,446,2,,243,1,,1,83551130,83704151,right,,,,SBR,"LINESTRING (-111.891042 40.7464269, -111.8910368 40.7448384, -111.8925836 40.7448317)"
90,11,83548113,,446,2,,444,2,,1,83551130,83553451,thru,,,,SBT,"LINESTRING (-111.891042 40.7464269, -111.8910368 40.7448384, -111.891042 40.7432861)"
91,12,83548119,,6,1,,8,1,,1,83548113,3529416887,thru,,,,EBT,"LINESTRING (-111.8910368 40.7448384, -111.8883125 40.7448553, -111.8881253 40.7448691)"
92,12,83548119,,6,1,,466,3,,1,83548113,7663778914,right,,,,EBR,"LINESTRING (-111.8910368 40.7448384, -111.8883125 40.7448553, -111.8883146 40.7437636)"
93,12,83548119,,9,1,,7,1,,1,3529416887,83548113,thru,,,,WBT,"LINESTRING (-111.8881253 40.7448691, -111.8883125 40.7448553, -111.8910368 40.7448384)"
94,12,83548119,,9,1,,466,1,,1,3529416887,7663778914,left,,,,WBL,"LINESTRING (-111.8881253 40.7448691, -111.8883125 40.7448553, -111.8883146 40.7437636)"
95,12,83548119,,465,3,,7,1,,1,83551132,83548113,right,,,,SBR,"LINESTRING (-111.888334 40.7464325, -111.8883125 40.7448553, -111.8910368 40.7448384)"
96,12,83548119,,465,1,,8,1,,1,83551132,3529416887,left,,,,SBL,"LINESTRING (-111.888334 40.7464325, -111.8883125 40.7448553, -111.8881253 40.7448691)"
97,12,83548119,,465,2,,466,3,,1,83551132,7663778914,thru,,,,SBT,"LINESTRING (-111.888334 40.7464325, -111.8883125 40.7448553, -111.8883146 40.7437636)"
98,13,83548120,,305,1,,307,1,,1,83659840,83648567,thru,,,,SBT,"LINESTRING (-111.8853652 40.7453903, -111.8853656 40.7448701, -111.8853659 40.7444084)"
99,13,83548120,,305,1,,572,1,,1,83659840,3529416887,right,,,,SBR,"LINESTRING (-111.8853652 40.7453903, -111.8853656 40.7448701, -111.8881253 40.7448691)"
100,13,83548120,,308,1,,306,1,,1,83648567,83659840,thru,,,,NBT,"LINESTRING (-111.8853659 40.7444084, -111.8853656 40.7448701, -111.8853652 40.7453903)"
101,13,83548120,,308,1,,572,1,,1,83648567,3529416887,left,,,,NBL,"LINESTRING (-111.8853659 40.7444084, -111.8853656 40.7448701, -111.8881253 40.7448691)"
102,14,83551101,,11,1,,298,1,,1,,3641553403,right,,,,WBR,"LINESTRING (-111.883 40.7464554, -111.8853646 40.7464643, -111.8853634 40.7468444)"
103,14,83551101,,11,1,,299,1,,1,,83551129,left,,,,WBL,"LINESTRING (-111.883 40.7464554, -111.8853646 40.7464643, -111.8853648 40.7460666)"
104,14,83551101,,297,1,,10,1,,1,3641553403,,left,,,,SBL,"LINESTRING (-111.8853634 40.7468444, -111.8853646 40.7464643, -111.883 40.7464554)"
105,14,83551101,,297,1,,299,1,,1,3641553403,83551129,thru,,,,SBT,"LINESTRING (-111.8853634 40.7468444, -111.8853646 40.7464643, -111.8853648 40.7460666)"
106,14,83551101,,300,1,,10,1,,1,83551129,,right,,,,NBR,"LINESTRING (-111.8853648 40.7460666, -111.8853646 40.7464643, -111.883 40.7464554)"
107,14,83551101,,300,1,,298,1,,1,83551129,3641553403,thru,,,,NBT,"LINESTRING (-111.8853648 40.7460666, -111.8853646 40.7464643, -111.8853634 40.7468444)"
108,15,83551129,,12,1,,300,1,,1,3529416889,83551101,left,,,,EBL,"LINESTRING (-111.8881394 40.7460491, -111.8853648 40.7460666, -111.8853646 40.7464643)"
109,15,83551129,,12,1,,301,1,,1,3529416889,7070738043,right,,,,EBR,"LINESTRING (-111.8881394 40.7460491, -111.8853648 40.7460666, -111.8853651 40.7456022)"
110,15,83551129,,299,1,,13,1,,1,83551101,3529416889,right,,,,SBR,"LINESTRING (-111.8853646 40.7464643, -111.8853648 40.7460666, -111.8881394 40.7460491)"
111,15,83551129,,299,1,,301,1,,1,83551101,7070738043,thru,,,,SBT,"LINESTRING (-111.8853646 40.7464643, -111.8853648 40.7460666, -111.8853651 40.7456022)"
112,15,83551129,,302,1,,13,1,,1,7070738043,3529416889,left,,,,NBL,"LINESTRING (-111.8853651 40.7456022, -111.8853648 40.7460666, -111.8881394 40.7460491)"
113,15,83551129,,302,1,,300,1,,1,7070738043,83551101,thru,,,,NBT,"LINESTRING (-111.8853651 40.7456022, -111.8853648 40.7460666, -111.8853646 40.7464643)"
114,16,83551130,,15,1,,446,1,,1,83551131,83548113,left,,,,WBL,"LINESTRING (-111.8896386 40.7464244, -111.891042 40.7464269, -111.8910368 40.7448384)"
